METER_ID,VENDOR,PAY_POLICY,PRE_PAY,PARK_NO_PAY,GREEN_DOME,TOW_AWAY,STREET_CLEANING,DIR,BLK_NO,STREET,LOCK_,LOCK__,LONGITUDE,LATITUDE,TRAVEL_DIRECTION,FROM_INTERSECTION,TO_INTERSECTION,SPACE_NUMBER,NUMBEROFSPACES,METER_TYPE,HAS_SENSOR,G_DISTRICT,G_PASSPORT_ZONES,G_PM_ZONE,G_SUBZONE,G_ZONE,BASE_RATE,POLE_MOUNT,YOKE,HOUSING_TYPE,HOUSING_MANUFACTURER,SIDEWALKGE,COIN_SLOTLE,METER_CONDITION,PERMIT_RATE,INSTALLED_ON,PURCHASED_DATE,METER_STATE,SPACE_STATE,shape_wkt,POINT_X,POINT_Y
450001,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,ARLI,NEWBURY ST A-B,1,,-71.072687000000002,42.352311000000000,,,,1,1,MULTI-SPACE STALL,NO,DISTRICT 0,,887,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.072686998999984 42.352311000000043),-71.072686998999984,42.352311000000043
450002,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,ARLI,NEWBURY ST A-B,1,,-71.071808000000004,42.352431000000003,,,,2,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.071808000999965 42.352431000000081),-71.071808000999965,42.352431000000081
450003,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,ARLI,NEWBURY ST A-B,1,,-71.072980999999999,42.352232999999998,,,,3,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.07298099999997 42.352233000000069),-71.072980999999970,42.352233000000069
450004,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,ARLI,NEWBURY ST A-B,1,,-71.072151000000005,42.352339000000001,,,,4,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.072150999999963 42.352339000000029),-71.072150999999963,42.352339000000029
450005,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,ARLI,NEWBURY ST A-B,1,,-71.073312000000001,42.352148000000000,,,,5,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.073311999999987 42.352148000000057),-71.073311999999987,42.352148000000057
450006,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,ARLI,NEWBURY ST A-B,1,,-71.072728999999995,42.352181000000002,,,,6,1,MULTI-SPACE STALL,NO,DISTRICT 0,,888,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.072728999999981 42.35218100000003),-71.072728999999981,42.352181000000030
450007,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,BERK,NEWBURY ST B-C,1,,-71.073982000000001,42.352023000000003,,,,7,1,MULTI-SPACE STALL,NO,DISTRICT 0,,889,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.073981999999944 42.352023000000031),-71.073981999999944,42.352023000000031
450008,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,BERK,NEWBURY ST B-C,1,,-71.073876999999996,42.351815000000002,,,,8,1,MULTI-SPACE STALL,NO,DISTRICT 0,,890,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.073876999999982 42.351815000000045),-71.073876999999982,42.351815000000045
450009,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,BERK,NEWBURY ST B-C,1,,-71.074399999999997,42.351906000000000,,,,9,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.074399999999969 42.351906000000042),-71.074399999999969,42.351906000000042
450010,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,BERK,NEWBURY ST B-C,1,,-71.074325000000002,42.351706000000000,,,,10,1,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.250000000000000,,,,,,,,,1/1/2017 12:00:00 AM,,ACTIVE,ACTIVE,POINT (-71.074324999999988 42.351706000000036),-71.074324999999988,42.351706000000036
